link_stub,rank,title,lifetime_gross,year,actor_actress
/title/tt0117998/?ref_=bo_cso_table_139,139,Twister,"$241,721,524",1996,Helen Hunt
/title/tt0259446/?ref_=bo_cso_table_140,140,My Big Fat Greek Wedding,"$241,438,208",2002,Nia Vardalos
/title/tt1587310/?ref_=bo_cso_table_141,141,Maleficent,"$241,410,378",2014,Angelina Jolie
/title/tt1298650/?ref_=bo_cso_table_142,142,Pirates of the Caribbean: On Stranger Tides,"$241,071,802",2011,Johnny Depp
/title/tt0892791/?ref_=bo_cso_table_143,143,Shrek Forever After,"$238,736,787",2010,Mike Myers
/title/tt1905041/?ref_=bo_cso_table_144,144,Fast & Furious 6,"$238,679,850",2013,Vin Diesel
/title/tt1217209/?ref_=bo_cso_table_145,145,Brave,"$237,283,207",2012,Kelly Macdonald
/title/tt1623205/?ref_=bo_cso_table_146,146,Oz the Great and Powerful,"$234,911,825",2013,James Franco
/title/tt0086960/?ref_=bo_cso_table_147,147,Beverly Hills Cop,"$234,760,478",1984,Eddie Murphy
/title/tt0376994/?ref_=bo_cso_table_148,148,X-Men: The Last Stand,"$234,362,462",2006,Patrick Stewart
/title/tt0407304/?ref_=bo_cso_table_149,149,War of the Worlds,"$234,280,354",2005,Tom Cruise
/title/tt3183660/?ref_=bo_cso_table_150,150,Fantastic Beasts and Where to Find Them,"$234,037,575",2016,Eddie Redmayne
/title/tt1877832/?ref_=bo_cso_table_151,151,X-Men: Days of Future Past,"$233,921,534",2014,Patrick Stewart
/title/tt0162222/?ref_=bo_cso_table_152,152,Cast Away,"$233,632,142",2000,Tom Hanks
/title/tt0070047/?ref_=bo_cso_table_153,153,The Exorcist,"$232,906,145",1973,Ellen Burstyn
/title/tt1211837/?ref_=bo_cso_table_154,154,Doctor Strange,"$232,641,920",2016,Benedict Cumberbatch
/title/tt0119567/?ref_=bo_cso_table_155,155,The Lost World: Jurassic Park,"$229,086,679",1997,Jeff Goldblum
/title/tt0974015/?ref_=bo_cso_table_156,156,Justice League,"$229,024,295",2017,Ben Affleck
/title/tt1408101/?ref_=bo_cso_table_157,157,Star Trek Into Darkness,"$228,778,661",2013,Chris Pine
/title/tt3659388/?ref_=bo_cso_table_158,158,The Martian,"$228,433,663",2015,Matt Damon
/title/tt0286106/?ref_=bo_cso_table_159,159,Signs,"$227,966,634",2002,Mel Gibson
/title/tt0448157/?ref_=bo_cso_table_160,160,Hancock,"$227,946,274",2008,Will Smith
/title/tt0440963/?ref_=bo_cso_table_161,161,The Bourne Ultimatum,"$227,471,070",2007,Matt Damon
/title/tt3315342/?ref_=bo_cso_table_162,162,Logan,"$226,277,068",2017,Hugh Jackman
/title/tt0266915/?ref_=bo_cso_table_163,163,Rush Hour 2,"$226,164,286",2001,Jackie Chan
/title/tt4630562/?ref_=bo_cso_table_164,164,The Fate of the Furious,"$226,008,385",2017,Vin Diesel
/title/tt0910970/?ref_=bo_cso_table_165,165,WALL·E,"$223,808,164",2008,Ben Burtt
